Profiling dataset web-Google.txt
Profiling loading
=================

         3064881597 function calls (3064881397 primitive calls) in 6726.888 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     34/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      100    0.000    0.000    0.000    0.000 __init__.py:3399(_vt_init)
     1600    0.000    0.000    0.000    0.000 __init__.py:548(key_type)
      400    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      100    0.000    0.000    0.000    0.000 getlimits.py:522(max)
     1400    0.000    0.000    0.000    0.000 __init__.py:2922(__get_base)
      100    0.000    0.000    0.000    0.000 __init__.py:925(_check_prop_scalar)
      300    0.000    0.000    0.000    0.000 __init__.py:2230(_get_vertex_index)
      100    0.000    0.000    0.000    0.000 __init__.py:795(is_writable)
      300    0.000    0.000    0.000    0.000 __init__.py:908(_set_pmap)
      600    0.000    0.000    0.000    0.000 __init__.py:3169(__get_base)
      100    0.000    0.000    0.000    0.000 __init__.py:2708(get_vertex_filter)
      200    0.000    0.000    0.000    0.000 __init__.py:2624(set_filters)
      400    0.000    0.000    0.000    0.000 __init__.py:140(_to_str)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
       23    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 _collections_abc.py:271(__subclasshook__)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.globals}


Profiling shortest path
=======================

         24903 function calls (24803 primitive calls) in 19.788 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   19.789   19.789 {built-in method builtins.exec}
        1    0.003    0.003   19.789   19.789 <string>:1(<module>)
      100   19.129    0.191   19.775    0.198 __init__.py:1591(shortest_distance)
      100    0.000    0.000    0.380    0.004 decorators.py:1(copy_property)
  200/100    0.003    0.000    0.379    0.004 decorators.py:126(wrapper)
      100    0.253    0.003    0.375    0.004 __init__.py:2367(copy_property)
      300    0.000    0.000    0.202    0.001 __init__.py:560(get_array)
      300    0.199    0.001    0.201    0.001 __init__.py:582(_get_data)
      700    0.002    0.000    0.107    0.000 __init__.py:166(_prop)
      600    0.002    0.000    0.104    0.000 __init__.py:393(_get_any)
      600    0.100    0.000    0.100    0.000 __init__.py:811(reserve)
      100    0.000    0.000    0.046    0.000 __init__.py:662(<lambda>)
      100    0.045    0.000    0.046    0.000 __init__.py:615(__get_set_f_array)
      200    0.005    0.000    0.014    0.000 __init__.py:2308(new_vertex_property)
      200    0.002    0.000    0.014    0.000 __init__.py:3093(__init__)
      600    0.003    0.000    0.010    0.000 __init__.py:383(__init__)
      100    0.009    0.000    0.009    0.000 __init__.py:1768(vertex)
      200    0.003    0.000    0.009    0.000 __init__.py:1544(__init__)
      100    0.000    0.000    0.007    0.000 __init__.py:2293(new_property)
      800    0.002    0.000    0.004    0.000 __init__.py:208(_type_alias)
      600    0.001    0.000    0.003    0.000 __init__.py:438(__del__)
      400    0.003    0.000    0.003    0.000 {built-in method numpy.array}
      600    0.001    0.000    0.003    0.000 __init__.py:270(_converter)
      600    0.003    0.000    0.003    0.000 __init__.py:433(__unregister_map)
      300    0.001    0.000    0.003    0.000 __init__.py:914(__new__)
      400    0.002    0.000    0.002    0.000 __init__.py:3183(value_types)
      600    0.001    0.000    0.002    0.000 __init__.py:231(_python_type)
     1100    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
      600    0.001    0.000    0.002    0.000 __init__.py:428(__register_map)
      700    0.002    0.000    0.002    0.000 __init__.py:552(value_type)
      100    0.001    0.000    0.002    0.000 numerictypes.py:365(issubdtype)
      600    0.001    0.000    0.001    0.000 __init__.py:1376(__init__)
      100    0.001    0.000    0.001    0.000 getlimits.py:497(__init__)
      200    0.001    0.000    0.001    0.000 numerictypes.py:293(issubclass_)
      900    0.001    0.000    0.001    0.000 __init__.py:2868(num_vertices)
      300    0.000    0.000    0.001    0.000 numeric.py:469(asarray)
      300    0.001    0.000    0.001    0.000 {method 'view' of 'numpy.ndarray' objects}
      100    0.000    0.000    0.001    0.000 abc.py:137(__instancecheck__)
     1600    0.001    0.000    0.001    0.000 __init__.py:541(get_graph)
      200    0.000    0.000    0.000    0.000 __init__.py:1323(__init__)
     2600    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      100    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      300    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      100    0.000    0.000    0.000    0.000 __init__.py:919(_check_prop_writable)
      400    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      400    0.000    0.000    0.000    0.000 __init__.py:2577(set_directed)
     1600    0.000    0.000    0.000    0.000 __init__.py:548(key_type)
      100    0.000    0.000    0.000    0.000 __init__.py:3399(_vt_init)
      100    0.000    0.000    0.000    0.000 getlimits.py:522(max)
     1400    0.000    0.000    0.000    0.000 __init__.py:2922(__get_base)
      100    0.000    0.000    0.000    0.000 __init__.py:795(is_writable)
      100    0.000    0.000    0.000    0.000 __init__.py:925(_check_prop_scalar)
