Profiling dataset amazon0302.txt
Profiling loading
=================

         741364997 function calls (741364797 primitive calls) in 499.575 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      700    0.002    0.000    0.026    0.000 __init__.py:166(_prop)
      600    0.002    0.000    0.024    0.000 __init__.py:393(_get_any)
      600    0.021    0.000    0.021    0.000 __init__.py:811(reserve)
      200    0.002    0.000    0.010    0.000 __init__.py:3093(__init__)
      300    0.000    0.000    0.009    0.000 __init__.py:560(get_array)
      300    0.007    0.000    0.009    0.000 __init__.py:582(_get_data)
      100    0.000    0.000    0.007    0.000 __init__.py:662(<lambda>)
      100    0.006    0.000    0.007    0.000 __init__.py:615(__get_set_f_array)
      200    0.002    0.000    0.006    0.000 __init__.py:2308(new_vertex_property)
      200    0.002    0.000    0.006    0.000 __init__.py:1544(__init__)
      600    0.002    0.000    0.006    0.000 __init__.py:383(__init__)
      100    0.000    0.000    0.003    0.000 __init__.py:2293(new_property)
      800    0.001    0.000    0.002    0.000 __init__.py:208(_type_alias)
      600    0.001    0.000    0.002    0.000 __init__.py:270(_converter)
      600    0.000    0.000    0.002    0.000 __init__.py:438(__del__)
      600    0.000    0.000    0.001    0.000 __init__.py:231(_python_type)
      600    0.001    0.000    0.001    0.000 __init__.py:433(__unregister_map)
      300    0.001    0.000    0.001    0.000 __init__.py:914(__new__)
      600    0.001    0.000    0.001    0.000 __init__.py:428(__register_map)
      400    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     1100    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      400    0.001    0.000    0.001    0.000 __init__.py:3183(value_types)
      700    0.001    0.000    0.001    0.000 __init__.py:552(value_type)
      100    0.000    0.000    0.001    0.000 numerictypes.py:365(issubdtype)
      600    0.001    0.000    0.001    0.000 __init__.py:1376(__init__)
      100    0.000    0.000    0.001    0.000 abc.py:137(__instancecheck__)
      900    0.001    0.000    0.001    0.000 __init__.py:2868(num_vertices)
      100    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      100    0.001    0.000    0.001    0.000 getlimits.py:497(__init__)
      200    0.000    0.000    0.000    0.000 numerictypes.py:293(issubclass_)
